title,url,image url,description,verdict,pros,cons,price
Vivo X60 Pro ,https://www.techadvisor.com/review/vivo-x60-pro-3803172/,https://www.techadvisor.com/cmsdata/reviews/3803172/vivo_x60_pro__15__thumb800.jpg,The Vivo X60 Pro is a capable flagship that plays to its strengths - a thin design and strong camera - by dropping niceties like wireless charging,"The X60 Pro is a confident flagship from Vivo that plays to its strengths: a beautiful, lightweight design and strong main camera. You won't get wireless charging, an IP rating, or the absolute top-tier chipset, but for many those will be smart sacrifices to make.","Pros,Exceptionally thin & light,Great main camera,Gimbal-stabilised video","Cons,No wireless charging,No IP rating,Average ultrawide camera","£749 (around $1,050)"
Xiaomi Poco M3 Pro 5G ,https://www.techadvisor.com/review/xiaomi-poco-m3-pro-5g-3806480/,https://www.techadvisor.com/cmsdata/reviews/3806480/poco_m3_pro_5g_review_thumb800.jpg,The Poco M3 Pro 5G has almost everything a competent budget smartphone needs to make it big but is let down by clumsy and bloated software,The Poco M3 Pro 5G has an attractive shopping list of specifications for a budget phone but is held back somewhat by its software experience and so so cameras.,"Pros,90Hz display, Great battery life, 5G connectivity","Cons,Bloated MIUI software, Average cameras, Awkward for one-handed use",Unavailable in the US
Private Internet Access VPN ,https://www.techadvisor.com/review/private-internet-access-3657619/,https://www.techadvisor.com/cmsdata/reviews/3657619/private-internet-access-review-2021-main_thumb800.jpg,"Private Internet Access is a top VPN service which has improved considerably over the years. There are lots of features, and it now unblocks iPlayer.","PIA is an well-featured VPN service with plenty of servers. It’s good value, too.","Pros,Lots of features,Unblocks iPlayer,Can pay anonymously","Cons,No IPv6 support",From $2.91 per month
Nokia 3.4 ,https://www.techadvisor.com/review/nokia-34-smartphone-review-3798771/,https://www.techadvisor.com/cmsdata/reviews/3798771/nokia-3point4-review-main_thumb800.png,"A new Nokia for the budget market. The 3.4 has great cameras, but can the rest hold up?",Smart design and great cameras can’t quite make up for the poor performance.,"Pros,Good cameras,Nice design,Low price","Cons,Poor performance,Not much storage",$179.99
Realme 7 5G ,https://www.techadvisor.com/review/realme-7-5g-3798560/,https://www.techadvisor.com/cmsdata/reviews/3798560/realme_7_5g_back_handheld_bltr_thumb800.jpg,"The Realme 7 5G claims the title of Europe's most affordable 5G phone but offers more than you'd expect for the price, beyond 5G speeds","If you're in the market for 5G connectivity on a budget, the Realme 7 5G proves that there's no shame in going for the cheapest option. In fact, this phone punches well above its weight, considering what's on offer for the money.","Pros,Great performance,Attractive finish,Superb value","Cons,Realme UI isn't for everyone,Plastic construction,Middling cameras",Unavailable in the US
Amazon Fire TV Stick Lite ,https://www.techadvisor.com/review/amazon-fire-tv-stick-lite-3801427/,https://www.techadvisor.com/cmsdata/reviews/3801427/fire_tv_stick_lite_review_thumb800.jpg,The Amazon Fire TV Stick Lite is a great option for those who just want a basic streaming device and don't need 4K or Dolby Atmos support,"The Amazon Fire TV Stick Lite has everything you need for basic streaming, but the cheaper price doesn't compensate enough for the compromises. ","Pros,Affordable Price,Clean layout,Alexa voice support","Cons,No volume or power buttons,Heavy Amazon promotion,Original Fire Stick more competitive",$29.99
HP Envy 13 (2020) ,https://www.techadvisor.com/review/hp-envy-13-2020-3795969/,https://www.techadvisor.com/cmsdata/reviews/3795969/hp_envy_13_2020_review_10_thumb800.jpg,The 2020 iteration of the HP Envy 13 retains all the great features of a powerful and lightweight laptop - but it's not completely faultless,"The HP Envy 13 (2020) is premium, powerful and portable - and minor niggles don't detract from this great all-rounder laptop. ","Pros,Lightweight and refined design,All-day battery life,Strong performance","Cons,Noisy fan,Screen glare,Speakers on the bottom","From $1,049.99"
AndaSeat Fnatic Edition ,https://www.techadvisor.com/review/andaseat-fnatic-edition-3796047/,https://www.techadvisor.com/cmsdata/reviews/3796047/andaseat_fnatic_edition_front_thumb800.jpg,"The AndaSeat Fnatic Edition is a giant gaming chair that's premium, polished, and boasts a lifetime frame warranty","The AndaSeat Fnatic Edition is a premium gaming chair that’s well built, sturdy, and attractive – so long as you’re a fan of the Fnatic branding.","Pros,Premium materials,Lifetime frame warranty,Supports up to 200kg","Cons,Garish orange,Expensive,Only available in XL",$449.99
Yoto Player  - audio content for kids,https://www.techadvisor.com/review/yoto-player-3801467/,https://www.techadvisor.com/cmsdata/reviews/3801467/yoto-player-sofa_thumb800.jpg,"Safe, quality audio content for kids that does away with harmful screen controls",Yoto Player is a special Bluetooth speaker that plays kid-friendly audio content from a wide range of cards.,"Pros,Quality kid-focussed content, Make Your Own option","Cons,Extra content could get expensive",$99.99
Ordo Sonic+ electric toothbrush ,https://www.techadvisor.com/review/ordo-sonic-electric-toothbrush-review-3796052/,https://www.techadvisor.com/cmsdata/reviews/3796052/ordo_review_thumb800.jpg,"The Ordo Sonic+ is a new high-quality sonic toothbrush at a reasonable price point. Buy it alone or choose the subscription service and get regular deliveries of replacement heads, toothpaste, mouthwash and more","The Ordo Sonic+ is a well designed brush that cleans effectively and has a choice of four brushing modes, although its features are limited elsewhere. You can use it in conjunction with a subscription service for replacement heads and dental care products. ","Pros,Good battery life, USB charger, Subscription option","Cons,No pressure sensor, No battery warning light, Expensive replacement brush heads",0.0
BT TV VIP ,https://www.techadvisor.com/review/bt-tv-vip-review-3794515/,https://www.techadvisor.com/cmsdata/reviews/3794515/bt_tv_vip_review_thumb800.jpg,"BT TV VIP is the daddy of entertainment, combining Freeview, BT Sport, Sky Sports, Sky Entertainment and Sky Cinema.","Thanks to the integration of Now TV you can have BT Sport, plus Sky Sports and Entertainment in one place.","Pros,Sky & BT Sport channels in EPG,Can change package each month,Can use Now TV app","Cons,No 4K Sky channels,No Wi-Fi on set-top box",
Red Magic 3S ,https://www.techadvisor.com/review/red-magic-3s-3775699/,https://www.techadvisor.com/cmsdata/reviews/3775699/red_magic_3s_review_2_thumb800.jpg,"The Red Magic 3S is a superb choice for the mobile gamers among us, but we don't feel the minor upgrades can quite justify this new release. Read why in our full review.",The Red Magic 3S builds on the success of its predecessor to provide an almost complete mobile gaming experience.,,,479 (8GB+128GB) | $599 (12GB+256GB)
Sky vs Virgin TV & Broadband,https://www.techadvisor.com/review/sky-vs-virgin-3696139/,https://www.techadvisor.com/cmsdata/reviews/3696139/sky_vs_virgin_tv__amp___broadband_thumb800.jpg,"Choosing a TV and broadband package isn't easy, with so many different elements to think about. Here we compare Sky Q and Virgin in a number of different areas to help you choose.",Virgin might be the best option here if you want the fastest broadband but Sky has a more well-rounded package as long as you don't mind a satellite dish on your house.,,,
Google Chromecast Ultra ,https://www.techadvisor.com/review/google-chromecast-ultra-3647256/,,"If you have invested in services such as Netflix, Amazon Prime Video or Spotify, then a Chromecast is a great way to get content onto your TV. If that TV is 4K, then the Chromecast Ultra can carry this high definition quality from your phone, tablet or laptop to the big screen. Here’s our Google Chromecast Ultra review.","If you have a 4K TV and a Netflix subscription, the Chromecast Ultra is worth the £69 asking price. The fact it is so easy to use and works best with the Google Home app means you can easily throw it in a bag and use it on different TVs wherever you are, as your phone or tablet carries your streaming subscriptions with you.",,,$69
Kobo Libra H20 ,https://www.techadvisor.com/review/kobo-libra-h20-3778545/,https://www.techadvisor.com/cmsdata/reviews/3778545/kobo_libra_h20_review_1600home_thumb800.jpg,"Kobo's latest is smaller than the Forma, but still smart and robust, with great water resistance and a good screen. We put the Libra H20 to the test in our full review","The Kobo Libra H20 offers the same great design and features as its larger Forma sibling, squeezed into a smaller package with a considerably smaller price tag. If you can cope with the curatorial problems on the Kobo eBook store, this is a great choice of eReader.","Pros,Great design,Water resistance,Affordable price","Cons,Kobo book store not well curated",$169.99
Xiaomi Mi 8 Review,https://www.techadvisor.com/review/xiaomi-mi8-3680578/,https://www.techadvisor.com/cmsdata/reviews/3680578/xiaomi_mi8_review_4_thumb800.jpg,Xiaomi's 2018 flagship offers incredible value in the smartphone market and is still a worthy choice. Find out why in our full review of the Mi 8.,,,,$389.99
Honor 20 Lite ,https://www.techadvisor.com/review/honor-20-lite-3696329/,https://www.techadvisor.com/cmsdata/reviews/3696329/honor_20_lite_review_thumb800.jpg,"The cheapest phone from the Honor 20 series, the Lite demonstrates you can get a solid phone for a very reasonable price.",The 20 Lite is very good value as well as being a good Android phone with decent cameras.,,,
Overclockers Hoplite ,https://www.techadvisor.com/review/overclockers-hoplite-3696024/,https://www.techadvisor.com/cmsdata/reviews/3696024/overclockers_hoplit_2_thumb800.jpg,Overclocker's Hoplite is powered by the AMD Ryzen 2700X and the RTX 2060 WindForce making it a gaming powerhouse at 1080p.,"The Hoplite is an extremely powerful out of the box system, requiring very little set up before it can be used thanks to the technicians over at Overclockers. It runs games at over 120fps at 1080p and will continue to do so for the next few years, but it will struggle to reach 60+fps at a 4K resolution.",,,N/A
HoloLens : Hands-on,https://www.techadvisor.com/review/hololens-review-hands-on-with-holographic-headset-you-wont-want-yet-3648221/,https://www.techadvisor.com/cmsdata/reviews/3648221/pca-social_thumb800.jpg,"The HoloLens offers a preview of the next-generation beyond VR, a headset that adds digital elements into your real world. But we're pretty sure from our hands-on time that you won't want to buy HoloLens - at least not yet. Find out why in our HoloLens review.","The HoloLens offers a tantalising version of future AR experiences. However, before it's ready for primetime, it's going to take concerted effort on the part of Microsoft to upgrade the hardware and developers to explore how best to make games and apps for it. But once we're there, it's going to be amazing.",,,"Developer Edition US$3,000. Commercial Suite edition $5,000."
Moto Z Play ,https://www.techadvisor.com/review/moto-z-play-review-3645805/,,Want a modular phone without breaking the bank? Then check out the Moto Z Play and its easy to use Moto Mods in our full review.,"The Moto Mods accessories are the main reason to buy the Moto Z Play, but it's a decent mid-range phone regardless. For an affordable price Lenovo offers premium design, good specs and a well-rounded software experience. You only really need to splash out on the Moto Z for the Quad HD screen, Snapdragon 820 and OIS camera should you feel the need for those features (but also bear in mind the more expensive version has no headphone jack and a smaller battery).",,,$449.99
Huawei Nova Plus  | Should I buy a Huawei Nova Plus?,https://www.techadvisor.com/review/huawei-nova-plus-review-mid-range-big-screen-huawei-phone-3645794/,https://www.techadvisor.com/cmsdata/reviews/3645794/huawei_nova_plus__review00_thumb800.jpg,"Announced at IFA 2016 in Berlin, Huawei is launching a new range of smartphones to take on the mid-range market, the Huawei Nova and Huawei Nova Plus. We’ve spent some time with the Huawei Nova Plus and here we discuss pricing and availability, design, features and software of the upcoming smartphone. Huawei Nova Plus review.",,,,
Asus ZenFone 3 ,https://www.techadvisor.com/review/asus-zenfone-3-review-3648251/,https://www.techadvisor.com/cmsdata/reviews/3648251/asus_zenfone_3_review08_thumb800.jpg,"The Asus ZenFone 3 has a lot going for it as a mid-range Android, including an interesting new design. Read our ZenFone 3 review to find out more.",,,,361.69
HTC Vive vs Samsung Gear VR Innovator Edition,https://www.techadvisor.com/review/htc-vive-vs-samsung-gear-vr-innovator-edition-comparison-preview-3600070/,https://www.techadvisor.com/cmsdata/reviews/3600070/HTC_vs_Samsung_2_thumb800.jpg,"Both Samsung and HTC have announced new virtual reality headsets at this years Mobile World Congress. Although they look similar, they couldn’t be any more different. Which is best? When are they out? How much will they cost? We've got a comparison between the two to help you make up your mind...",Come back when these headsets have been released for a full verdict,,,
MSI Radeon R7 260X OC budget graphics card ,https://www.techadvisor.com/review/msi-radeon-r7-260x-oc-budget-graphics-card-review-3599312/,https://www.techadvisor.com/cmsdata/reviews/3599312/MSI_Radeon_R7_260X_OC_thumb800.png,MSI's Radeon R7 260X OC budget graphics card offers the best gaming performance under £100. Read our MSI Radeon R7 260X OC graphics card review.,"The 260X is the superior card for gamers - even if the difference isn't quite as big as you might think. We were mostly seeing average increases of 3-4fps. The most we saw was, in Crysis 3, a gap of almost 7fps. But if you need strong gaming performance for less than £100, this is the best product here, and can handle games even at the relatively high resolution of 1920x1200. 
",,,
Acer Liquid M220 : Hands-on with the new Acer Liquid M220,https://www.techadvisor.com/review/acer-liquid-m220-hands-on-review-3600025/,,Acer has decided to try Windows Phone again but you won't be able to get excited about this smartphone. Here are our first impressions in our Acer Liquid M220 review.,"The Acer Liquid M220 might be cheap but that's all it has going for it really. The phone wouldn't have been all that impressive a few years ago, let alone now. Our initial impression is that you're better off spending a little more on a better Windows Phone handset such as the Lumia range or an Android alternative.",,,
Snugs Original S10 ,https://www.techadvisor.com/review/snugs-original-s10-review-3648389/,https://www.techadvisor.com/cmsdata/reviews/3648389/snugs_s10_headphones_review00_thumb800.jpg,Snugs is the British company making custom mould in-ear headphone which won't break the bank. Here's our review of the new Snugs Original S10 headphones.,"If you have trouble with in-ear headphones, or just want custom moulds without breaking the bank, Snugs are an excellent solution. The new scanning tech is quick and easy and you’ll find it hard to go back once you get used to the feel of a custom tip. As well as fit, the moulds benefit noise isolation and leakage. We like the sound of the new own-brand S10 drivers but you may as well spend the extra tenner on SoundMagic’s E10S. Bear in mind that the firm might be able to make tips for your current headphones.",,,
Acer Liquid Leap+ hands-on ,https://www.techadvisor.com/review/acer-liquid-leap-hands-on-review-3600218/,,"The new Acer Liquid Leap+ fitness tracker and smartwatch in one works with Android, iOS and Windows Phone. Here's our Acer Liquid Leap+ review from MWC 2015.","The Acer Liquid Leap+ is waterproof, cheap and works with Android, iOS and Windows Phone. However, the unresponsive oblong touchscreen put us off a significant amount. Come back for a full review soon.",,,
Acer Liquid Jade Z  | Hands-on with new Liquid Jade Z,https://www.techadvisor.com/review/acer-liquid-jade-z-review-hands-on-with-new-liquid-jade-z-3600221/,,The Acer Liquid Jade Z has great specs at a low price tag that could help it knock the Motorola Moto G off the top spot in our budget smartphone chart.,We can't wait to spend more time with the Acer Liquid Jade Z and find out whether it really can knock the Motorola Moto G off the top spot in our budget smartphone chart. We'll be bringing you our full review soon.,,,
Microsoft Lumia 535 ,https://www.techadvisor.com/review/microsoft-lumia-535-review-3597402/,,"The new Lumia 535 addresses some of the criticisms of its predecessor - the 530 - but still fails to impress, even at this relatively low price. The smartphone does have some charms, so read our Microsoft Lumia 535 review to find out if it's right for you.",We're fans of Windows Phone 8.1 but the Lumia 535 compromises in too many areas to make it a bargain at £100. You're better off with a Motorola Moto E or - if you want 4G - the EE Kestrel.,,,
Xiaomi Mi Band : Best value fitness band offers top battery life,https://www.techadvisor.com/review/xiaomi-mi-band-review-best-value-fitness-band-offers-top-battery-life-3598126/,,"Xiaomi is not a well-known brand in the UK, but outside our little island it's huge. Bigger than huge. Offering top-quality devices at amazing prices, the fact Xiaomi's Mi Band fitness tracker offers unrivalled value is not at all a surprise.","At £28.99 the Xiaomi Mi Band is an excellent-value, lightweight fitness band with outstanding battery life. It's as accurate as any other fitness band, and we particularly like its sleep monitoring, vibration alarm and phone call notifications. The Mi Band companion app is very easy to use, but falls down only in its integration with other fitness and social apps.",,,
ZTE Grand S3  | Hands-on with Eyeprint ID smartphone,https://www.techadvisor.com/review/zte-grand-s3-review-hands-on-with-eyeprint-id-smartphone-3600432/,,"ZTE's new smartphone intrigued us with its Eyeprint ID biometric security feature, but in reality it's not quite as practical as it sounds.","It's interesting to see a new development in mobile security being implemented in ZTE's Grand S3, but it's certainly not the most ideal or practical feature, and it's essentially the only thing that makes this smartphone stand out from the crowd.",,,
Old Moto E vs New Moto E,https://www.techadvisor.com/review/old-moto-e-vs-new-moto-e-3600431/,,"For a long time now, Motorola has cornered the budget smartphone market with its great-value Android offerings. The new Moto E continues the domination, and in our old Moto E vs new Moto E comparison we explain how it differs from the old model and why you should buy one instead of the first-generation Moto G.","The screen is bigger, it has double the storage, a quad-core processor, support for 4G and a front-facing camera. It’s a very easy choice between the old and new Moto E: the second generation phone is another winner.",,,
HTC One M9 vs HTC One M8 smartphone comparison,https://www.techadvisor.com/review/htc-one-m9-hima-vs-htc-one-m8-smartphone-comparison-3595960/,,"We compare the HTC One M8 with the new HTC One M9. The new specs and new features of the HTC One M9, and how do they compare to the HTC One M8? Read our HTC One M9 vs HTC One M8 smartphone comparison to find out.","More of an iterative upgrade than a must-have change. Evolution rather than revolution. The HTC One M9 is an improved version of the already excellent HTC One M8. This will mean both that the cheaper HTC One M8 becomes and even better deal, but also that the HTC One M9 is a good upgrade from its predecessor. HTC's best ever smartphone: which makes it pretty great.",,,
Elephone P5000 ,https://www.techadvisor.com/review/elephone-p5000-review-tested-phone-with-four-day-battery-life-3598594/,,"On paper the Elephone P5000 is unlike any phone we've ever seen before, with a huge 5350mAh battery that can keep going four days or, thanks to OTG support, even act as a power bank. Read our Elephone P5000 review.","On paper the Elephone P5000 is a great phone with an attractive selling price, plus its monster battery, fingerprint scanner and dual-SIM operation are all key selling points. In reality the battery life isn't as good as we had hoped (this could be due to a firmware issue or a fault with our sample), and the fingerprint scanner was sufficiently annoying to use that we probably wouldn't bother. Other aspects of this phone are all distinctly mid-range, but what more can you expect at £200?",,,
Motorola Moto E 4G ,https://www.techadvisor.com/review/motorola-moto-e-4g-review-3599662/,,"Motorola has upgraded its super-budget Moto E smartphone for 2015. The new Motorola Moto E has received some useful hardware upgrades for faster performance, and comes in a version with 4G LTE, making it a better buy than the Moto G 4G. Read our new Motorola Moto E review.","The new Moto E 4G is a worthy upgrade over the original Moto E, with upgrades in every area. For an extra £20 it adds 4G LTE connectivity and a front-facing camera, plus performance and storage improvements. It might not be as fast as the grey-market Doogee F1 Turbo Mini, but this Moto E 4G is a much better deal than the EE Kestrel, making it the best budget 4G phone intended for UK sale we've seen.",,,
Nokia N1 tablet  | Hands-on with Nokia's iPad mini rival,https://www.techadvisor.com/review/nokia-n1-tablet-review-hands-on-with-nokias-ipad-mini-rival-3600463/,,"Nokia's N1 tablet looks a lot like Apple's iPad mini and has very similar specs, but runs Android 5.0 Lollipop and has a lower price tag. Find out more in our hands-on review.","Essentially, the Nokia N1 is an iPad mini running Android, but actually that might be part of its appeal. We're keeping our fingers crossed that the N1 makes it to the UK soon, and if it does we imagine that it could be pretty successful. We'll bring you our full review of the Nokia N1, including benchmarks, camera tests and battery tests as soon as we've got it back to our labs in the UK.",,,
Lenovo Tab 2 A8 & A10 : New budget Android tablets,https://www.techadvisor.com/review/lenovo-tab-2-a8-a10-review-new-budget-android-tablets-3600491/,https://www.techadvisor.com/cmsdata/reviews/3600491/Lenovo-Tab-2-A8-1_thumb800.jpg,Lenovo used MWC 2015 in Barcelona this week to launch two new and affordable Android tablets: the Lenovo Tab 2 A8 and the Lenovo Tab 2 A10.,"Lenovo's new Android tablets are decent new entries into the budget tablet market, despite the lack of any particularly interesting or outstanding features. They'll do the trick for anyone looking for an all-rounder in either the 8in or 10in tablet category, but don't expect to be blown away by their screen, camera offerings or design. We'll bring you full benchmark tests, camera tests and battery life tests as soon as we can to help us compare these tablets more closely with rival tablets.",,,
Canon i-Sensys LBP6230dw mono laser printer ,https://www.techadvisor.com/review/canon-i-sensys-lbp6230dw-mono-laser-printer-review-3600716/,https://www.techadvisor.com/cmsdata/reviews/3600716/Canon_i-Sensys_LBP6230dw_review_800_thumb800.jpg,The Canon i-Sensys LBP6230dw is an affordable mono laser printer. It's well built and quality is good: it's just not the easiest to use. Here's our Canon i-Sensys LBP6230dw review.,"We haven't been overly effusive about every aspect of this printer. The lack of user friendliness, in particular, could be improved upon. However, many of the LBP6230dw's faults are common to most other affordable laser printers. And many of them are minor issues which will cause few problems on an everyday basis. And there is a lot, an awful lot, that the Canon does incredibly well. It's highly affordable to both buy and run, and has searing speed and quality for this price-point. It's also pleasingly compact. For a discreet page-churner that you can entrust your daily workload to, the LBP6230dw is a fantastic product for the money.",,,
HP Spectre x360 hands-on ,https://www.techadvisor.com/review/hp-spectre-x360-hands-on-review-3600628/,https://www.techadvisor.com/cmsdata/reviews/3600628/HP_Spectre_x360_review_5_thumb800.JPG,"Laptops aren't a big deal at MWC 2015, but HP's new MacBook Air and Lenovo Yoga 3 Pro rival caught our eye. Here's our HP Spectre x360 hands-on review.","Our initial impression is that the HP Spectre x360 is a decent looking rival to the Macbook Air and Yoga 3 Pro. Pending our lab tests, the firm looks to have done a great a job of packing good specs in a desirable aluminium chassis at an affordable price point. Stay tune for a full review soon.",,,
Brydge Air for iPad Air/Air 2 Review,https://www.techadvisor.com/review/brydge-air-for-ipad-air-air-2-review-3600599/,https://www.techadvisor.com/cmsdata/reviews/3600599/BrydgeAir_Main_SL_1024x1024_thumb800.jpg,"If you're looking to type up lengthy documents on your iPad Air/Air 2, you may be better off with a Bluetooth keyboard. But which one? We've gone hands on with the Brydge Air, the second generation Brydge Keyboard compatible with the iPad Air/Air 2. Is it worth the price tag? Read on and find out.","Coming in at £111-£124, the Brydge Air is more than twice as expensive as its previous generation. Even though it’s more expensive and may put some people off, it still gave us one of the best writing experiences on an iPad that we've ever had. It's a great alternative for people that don't want to carry both an iPad and a laptop around and it's great for writing long documents.",,,
TomTom Spark 3 ,https://www.techadvisor.com/review/tomtom-spark-3-review-gps-fitness-watch-3624851/,https://www.techadvisor.com/cmsdata/reviews/3624851/tomtom-spark-1_thumb800.jpg,TomTom's new GPS fitness watch offers heart-rate sensor and space for 500 songs for the ultimate workout companion.,"TomTom knew exactly who it was targeting when it designed this fitness tracker: fitness fanatics that simply want a way to track their activity and improve their workouts without complicating things with additional features. GPS makes a huge difference to the quality of fitness tracking, and with the ability to store music right there on the watch it's the only tech you'll need to take with you on your run or bike ride. However, to keep the cost down, it does lack some features you might like such as touchscreen and colour display. But as long as these things don't bother you and you don't need really detailed swim stats, it's a decent choice.",,,200
Nokia 105 : How to get a free phone (and play Snake!),https://www.techadvisor.com/review/nokia-105-review-how-get-free-phone-play-snake-3600607/,,Even the cheapest smartphones aren't cheap enough for some people. Here we show you how to get a free phone in our Nokia 105 review.,"As with all things in life you get what you pay for, and that is £10 worth of calls and texts. The free phone is a bonus, and will keep going much longer than the 30 days for which the credit is valid. This isn't a smartphone, so it's unfair to compare it with the phones we usually review, but if all you want to do is make calls and send texts the Nokia 105 offers the best deal we've ever seen.",,,
